trip_id,vendor_id,date_id,pickup_location_id,dropoff_location_id,payment_type_id,ratecode_id,passenger_count,trip_distance,fare_amount,total_amount,store_and_fwd_flag,trip_duration
0,1,20190101,151,239,1,1,1,1.5,7.0,9.95,NO,6
1,1,20190101,239,246,1,1,1,2.6,14.0,16.3,NO,19
2,1,20190101,163,229,1,1,1,1.3,6.5,9.05,NO,7
3,1,20190101,229,7,1,1,1,3.7,13.5,18.5,NO,13
4,1,20190101,141,234,1,1,2,2.1,10.0,13.0,NO,12
5,1,20190101,246,162,1,1,2,2.8,15.0,19.55,NO,23
6,1,20190101,238,151,1,1,1,0.7,5.5,8.5,NO,6
7,1,20190101,163,25,1,1,1,8.7,34.5,42.95,NO,45
8,1,20190101,224,25,1,1,1,6.3,21.5,28.5,NO,24
9,1,20190101,141,234,1,1,1,2.7,13.0,15.3,NO,16
10,2,20190101,170,170,2,1,1,0.38,3.5,4.8,NO,2
11,2,20190101,170,170,1,1,1,0.55,6.5,9.75,NO,8
12,2,20190101,107,107,1,1,1,0.3,4.0,6.36,NO,3
13,2,20190101,170,141,1,1,1,1.42,6.5,9.36,NO,6
14,2,20190101,41,247,2,1,1,1.72,9.0,10.3,NO,9
15,2,20190101,116,42,2,1,1,0.06,2.5,3.8,NO,0
16,1,20190101,113,90,2,1,1,1.5,7.5,8.8,NO,12
17,1,20190101,161,170,1,1,1,1.2,10.5,14.75,NO,16
18,1,20190101,138,50,1,1,1,12.3,38.0,49.06,NO,38
19,1,20190101,144,261,2,1,1,1.3,7.5,8.8,NO,8
20,1,20190101,231,79,1,1,1,1.9,10.5,13.8,NO,13
21,1,20190101,107,181,2,1,1,4.6,19.0,20.3,NO,21
22,1,20190101,161,229,1,1,3,0.6,5.5,8.15,NO,5
23,1,20190101,263,107,1,1,2,3.0,12.0,15.95,NO,14
24,2,20190101,151,142,2,1,1,2.1,9.5,10.8,NO,11
25,2,20190101,231,238,1,1,1,6.57,24.0,30.36,NO,29
26,2,20190101,238,239,2,2,1,1.03,52.0,52.8,NO,6
27,2,20190101,132,238,1,2,2,19.13,52.0,70.27,NO,33
28,2,20190101,239,236,2,1,2,1.43,7.0,8.3,NO,6
29,1,20190101,264,229,1,1,1,4.2,15.0,19.55,NO,12
30,1,20190101,141,83,2,1,1,11.2,46.5,47.8,NO,70
31,1,20190101,151,142,2,1,4,1.5,8.0,9.3,NO,7
32,1,20190101,142,263,1,1,2,3.1,11.5,14.3,NO,12
33,1,20190101,263,140,2,1,2,0.7,4.5,5.8,NO,3
34,1,20190101,229,141,2,1,2,1.2,6.0,7.3,NO,4
35,1,20190101,249,234,1,1,2,1.3,10.0,13.55,NO,14
36,1,20190101,137,161,2,1,3,1.7,9.0,10.3,NO,10
37,2,20190101,90,181,1,1,3,5.23,24.5,29.8,NO,35
38,1,20190101,170,137,1,1,2,0.8,5.5,8.8,NO,5
39,1,20190101,162,140,1,1,2,1.1,7.5,10.55,NO,9
40,1,20190101,140,243,2,1,1,8.0,24.5,25.8,NO,21
41,2,20190101,137,75,1,1,1,4.1,14.0,15.3,NO,14
42,2,20190101,236,41,2,1,1,2.69,10.5,11.8,NO,11
43,2,20190101,41,50,1,1,1,4.36,15.5,20.16,NO,15
44,2,20190101,68,88,1,1,2,3.79,14.5,20.54,NO,18
45,2,20190101,88,90,2,1,2,3.52,13.5,14.8,NO,15
46,1,20190101,74,168,2,1,1,1.5,8.0,9.3,NO,9
47,1,20190101,249,113,1,1,1,0.7,4.5,6.95,NO,3
48,1,20190101,79,161,2,1,2,2.1,12.0,13.3,NO,16
49,1,20190101,107,79,1,1,2,1.4,8.0,11.6,NO,9
50,1,20190101,170,75,2,1,1,3.6,15.5,16.8,NO,20
51,1,20190101,75,246,1,1,1,5.2,25.5,32.15,NO,38
52,1,20190101,264,170,1,1,2,1.3,9.5,12.95,NO,12
53,1,20190101,233,141,1,1,1,1.7,7.5,10.8,NO,6
54,1,20190101,229,234,2,1,1,1.9,10.5,11.8,NO,14
55,1,20190101,148,246,2,1,1,2.6,12.0,13.3,NO,13
56,1,20190101,246,79,1,1,2,2.9,14.0,18.3,NO,20
57,2,20190101,48,68,1,1,2,2.08,12.5,17.25,NO,17
58,2,20190101,68,68,2,1,2,0.74,11.0,12.3,NO,16
59,2,20190101,107,161,1,1,1,2.26,11.0,14.76,NO,14
60,2,20190101,161,162,2,1,1,0.93,5.0,6.3,NO,3
61,2,20190101,162,151,2,1,1,4.4,15.0,16.3,NO,15
62,1,20190101,88,151,1,1,1,9.4,30.0,37.55,NO,28
63,1,20190101,143,151,1,1,1,1.9,9.5,13.5,NO,10
64,1,20190101,143,238,1,1,1,1.4,7.0,9.95,NO,6
65,1,20190101,239,239,1,1,1,0.5,5.5,8.15,NO,5
66,1,20190101,249,4,2,1,1,1.8,8.5,9.8,NO,9
67,1,20190101,4,246,2,1,1,3.8,25.0,26.3,NO,40
68,1,20190101,68,4,2,1,1,4.3,19.5,20.8,NO,27
69,1,20190101,164,262,1,1,2,3.3,14.5,18.95,NO,17
70,1,20190101,90,148,2,1,1,3.1,13.0,14.3,NO,15
71,1,20190101,148,232,1,1,1,0.6,4.0,6.36,NO,2
72,1,20190101,232,79,1,1,1,1.5,8.0,11.29,NO,8
73,1,20190101,79,141,1,1,1,3.6,14.5,18.95,NO,17
74,2,20190101,45,97,1,1,2,2.57,9.5,12.96,NO,8
75,2,20190101,144,256,2,1,2,2.44,10.5,11.8,NO,10
76,2,20190101,79,263,1,1,1,4.18,16.0,20.76,NO,20
77,1,20190101,140,233,1,1,1,1.0,5.0,7.3,NO,3
78,1,20190101,229,238,1,1,1,3.9,14.5,20.5,NO,15
79,1,20190101,238,236,1,1,1,1.6,8.5,12.7,NO,9
80,1,20190101,263,137,2,1,1,3.1,12.0,13.3,NO,14
81,1,20190101,113,264,1,1,2,0.6,6.0,8.75,NO,7
82,1,20190101,264,264,1,1,2,1.3,7.5,10.38,NO,9
83,1,20190101,141,263,2,1,2,0.5,4.0,5.3,NO,2
84,1,20190101,263,107,1,1,2,3.3,11.5,15.35,NO,12
85,1,20190101,79,263,2,1,1,4.1,17.0,18.3,NO,22
86,2,20190101,140,229,2,1,3,0.69,5.5,6.8,NO,5
87,2,20190101,229,236,1,1,3,1.92,8.5,11.76,NO,8
88,2,20190101,43,151,1,1,3,2.43,11.0,14.76,NO,11
89,2,20190101,151,238,1,1,3,0.83,6.5,8.58,NO,6
90,2,20190101,238,161,1,1,3,2.66,13.0,16.8,NO,16
91,2,20181231,132,181,1,1,1,22.59,60.0,68.3,NO,1414
92,1,20190101,186,186,2,1,1,0.2,8.0,9.3,YES,11
93,1,20190101,68,79,1,1,1,1.2,7.5,9.8,NO,9
94,1,20190101,79,143,1,1,1,5.0,22.5,28.55,NO,35
95,2,20190101,236,238,1,1,1,1.68,8.0,11.16,NO,7
96,2,20190101,238,239,2,1,1,0.65,4.5,5.8,NO,3
97,2,20190101,239,145,1,1,1,5.15,19.0,25.38,NO,22
98,1,20190101,161,170,1,1,2,0.6,13.0,39.3,NO,21
99,1,20190101,249,107,1,1,2,1.3,11.5,16.6,NO,16
100,1,20190101,107,229,1,1,2,1.7,9.5,11.8,NO,12
101,2,20190101,170,42,2,1,1,6.91,21.5,22.8,NO,23
102,2,20190101,158,238,1,1,5,5.08,18.0,24.12,NO,18
103,2,20190101,239,236,1,1,5,2.11,11.0,14.0,NO,12
104,1,20190101,50,148,1,1,2,5.3,21.5,27.35,NO,27
105,1,20190101,148,107,1,1,3,1.7,9.0,12.35,NO,10
106,1,20190101,107,262,1,1,3,3.6,15.5,20.15,NO,21
107,2,20190101,161,239,2,1,1,3.13,14.5,15.8,NO,20
108,2,20190101,239,48,2,1,1,1.07,7.5,8.8,NO,8
109,2,20190101,143,48,2,1,1,0.77,6.5,7.8,NO,8
110,2,20190101,237,263,1,1,1,2.12,10.0,13.56,NO,12
111,2,20190101,132,50,2,2,2,20.01,52.0,58.56,NO,62
112,1,20190101,238,236,2,1,2,1.4,8.0,9.3,NO,9
113,1,20190101,236,262,1,1,3,0.7,7.0,10.75,NO,8
114,1,20190101,249,162,2,1,2,2.8,13.5,14.8,NO,18
115,1,20190101,236,140,2,1,1,1.0,6.0,7.3,NO,5
116,1,20190101,140,162,2,1,4,1.9,8.0,9.3,NO,7
117,2,20190101,142,239,1,1,1,0.76,4.5,7.8,NO,3
118,2,20190101,239,68,1,1,1,3.6,13.5,16.8,NO,13
119,2,20190101,246,43,2,1,2,3.8,16.5,17.8,NO,20
120,2,20190101,132,87,1,2,5,21.42,52.0,70.27,NO,35
121,2,20190101,114,198,2,1,1,10.84,37.5,38.8,NO,43
122,1,20190101,161,41,1,1,2,3.6,12.5,16.3,NO,11
123,1,20190101,161,249,2,1,4,3.2,18.5,19.8,NO,30
124,2,20190101,236,236,1,1,2,0.78,4.5,6.96,NO,2
125,2,20190101,236,142,2,1,1,1.71,8.5,9.8,NO,9
126,2,20190101,43,151,1,1,2,2.28,9.5,12.96,NO,9
127,2,20190101,238,41,1,1,2,1.57,8.0,11.16,NO,8
128,2,20190101,113,229,2,1,1,2.8,12.0,13.3,NO,15
129,2,20190101,141,262,1,1,1,1.18,7.0,9.96,NO,7
130,1,20190101,233,233,2,1,2,0.4,4.5,5.8,NO,4
131,1,20190101,113,79,2,1,1,1.0,6.0,7.3,NO,6
132,1,20190101,79,75,1,1,4,6.0,24.0,30.35,NO,29
133,2,20190101,42,41,2,1,5,1.32,7.0,8.3,NO,6
134,2,20190101,43,224,2,1,3,3.65,15.5,16.8,NO,21
135,1,20190101,50,50,1,1,0,5.3,2.5,4.55,NO,0
136,1,20190101,50,239,1,1,1,1.4,6.5,9.35,NO,6
137,1,20190101,238,238,2,1,3,0.6,4.5,5.8,NO,3
138,1,20190101,238,98,2,1,2,14.4,42.0,49.06,NO,34
139,2,20190101,14,228,2,1,1,1.43,7.0,8.3,NO,6
140,2,20190101,11,22,2,1,1,1.0,6.0,7.3,NO,5
141,1,20190101,181,239,1,1,2,11.0,40.0,51.63,NO,53
142,2,20190101,161,229,2,1,1,1.5,10.5,11.8,NO,15
143,2,20190101,162,43,2,1,1,0.72,7.0,8.3,NO,8
144,2,20190101,43,137,1,1,1,2.6,13.0,16.44,NO,1438
145,1,20190101,236,237,1,1,1,1.5,7.0,9.95,NO,6
146,1,20190101,237,140,2,1,1,1.0,6.0,7.3,NO,5
147,1,20190101,140,237,1,1,1,0.6,5.0,7.55,NO,4
148,1,20190101,237,238,1,1,1,1.9,9.5,14.0,NO,11
149,1,20190101,238,237,1,1,1,1.9,8.0,11.15,NO,7
150,1,20190101,162,107,1,1,1,1.3,9.5,12.95,NO,12
151,1,20190101,107,79,1,1,1,0.8,6.5,9.35,NO,7
152,1,20190101,113,142,1,1,1,3.8,19.5,24.95,NO,28
153,1,20190101,161,137,1,1,1,1.3,7.0,8.3,NO,7
154,1,20190101,164,170,4,1,2,0.4,4.5,5.8,NO,3
155,1,20190101,161,161,3,1,6,0.5,4.0,5.3,NO,2
156,1,20190101,229,223,2,1,2,4.3,16.0,17.3,NO,16
157,2,20190101,211,48,2,1,6,3.58,23.0,24.3,NO,37
158,1,20190101,158,107,2,1,2,2.1,14.5,15.8,NO,22
159,2,20190101,13,231,1,1,1,1.11,7.0,8.3,NO,8
160,2,20190101,113,238,1,1,1,5.63,24.0,30.36,NO,33
161,1,20190101,79,79,1,1,1,0.8,5.0,7.56,NO,4
162,1,20190101,107,87,1,1,1,3.7,13.0,17.15,NO,9
163,1,20190101,261,142,1,1,1,5.4,20.5,27.25,NO,23
164,1,20190101,211,232,2,1,1,1.8,9.5,10.8,NO,11
165,1,20190101,79,164,1,1,1,2.1,11.5,15.35,NO,15
166,1,20190101,107,170,1,1,1,1.0,6.5,8.8,NO,6
167,1,20190101,148,79,1,1,1,0.8,5.5,8.8,NO,5
168,1,20190101,4,87,1,1,1,2.7,11.0,13.3,NO,9
169,1,20190101,148,148,1,1,1,0.7,6.0,9.1,YES,6
170,1,20190101,79,231,1,1,1,1.1,7.0,9.3,NO,7
171,1,20190101,231,158,1,1,1,1.5,7.5,9.8,NO,8
172,1,20190101,142,237,2,1,2,1.2,7.0,8.3,NO,8
173,1,20190101,237,262,1,1,2,1.9,8.0,11.15,NO,7
174,1,20190101,236,244,2,1,1,5.8,20.0,21.3,NO,18
175,2,20190101,164,255,2,1,2,5.7,19.5,26.56,NO,19
176,2,20190101,239,239,1,1,1,0.46,4.0,6.89,NO,2
177,2,20190101,239,236,2,1,1,1.72,8.0,9.3,NO,7
178,2,20190101,236,239,2,1,1,1.6,7.0,8.3,NO,5
179,2,20190101,143,239,2,1,1,0.69,5.0,6.3,NO,3
180,2,20190101,239,151,1,1,1,1.4,8.0,11.62,NO,7
181,2,20190101,238,143,1,1,1,1.18,6.5,9.75,NO,5
182,2,20190101,143,41,1,1,1,3.35,12.0,17.91,NO,13
183,2,20190101,97,35,2,1,6,4.82,19.5,20.8,NO,25
184,2,20190101,231,170,1,1,1,2.85,16.0,20.76,NO,25
185,2,20190101,132,236,2,2,1,19.16,52.0,58.56,NO,26
186,1,20190101,237,90,1,1,1,3.0,22.5,28.55,NO,37
187,1,20190101,107,263,2,1,2,3.8,15.5,16.8,NO,18
188,2,20190101,164,257,1,1,1,10.15,29.5,43.87,NO,23
189,2,20190101,234,68,1,1,2,1.05,8.5,11.76,NO,11
190,2,20190101,68,236,1,1,2,4.04,18.0,23.16,NO,24
191,1,20190101,144,170,1,1,2,2.1,12.0,15.95,NO,17
192,1,20190101,125,246,1,1,1,3.0,12.5,17.9,NO,14
193,1,20190101,246,234,3,1,1,1.2,8.0,9.3,NO,10
194,2,20190101,43,246,1,1,1,3.11,19.0,24.36,NO,30
195,1,20190101,263,141,1,1,2,0.5,3.5,5.76,NO,1
196,1,20190101,236,236,1,1,2,0.5,4.0,6.85,NO,1
197,1,20190101,236,75,1,1,2,0.5,4.0,6.85,NO,3
198,1,20190101,75,151,2,1,2,1.5,7.5,8.8,NO,7
199,1,20190101,238,162,2,1,1,3.8,16.0,17.3,NO,20
200,1,20190101,164,79,2,1,3,2.3,13.5,14.8,NO,20
201,2,20190101,239,48,1,1,1,1.14,6.5,8.8,NO,5
202,2,20190101,239,170,1,1,2,3.33,14.5,19.75,NO,18
