trip_id,vendor_id,date_id,pickup_location_id,dropoff_location_id,payment_type_id,ratecode_id,passenger_count,trip_distance,fare_amount,total_amount,store_and_fwd_flag,trip_duration
414,1,20190101,141,236,1,1,1,1.1,5.5,8.8,NO,4
415,1,20190101,236,237,1,1,4,1.4,7.5,10.56,NO,8
416,1,20190101,163,100,1,1,2,1.0,13.0,17.3,NO,21
417,1,20190101,132,229,1,2,1,17.9,52.0,66.56,NO,28
418,1,20190101,143,239,1,1,1,0.4,4.0,6.35,NO,2
419,1,20190101,239,151,1,1,1,1.7,8.5,11.76,NO,9
420,1,20190101,151,238,2,1,1,0.5,4.0,5.3,NO,2
421,1,20190101,239,141,1,1,1,2.3,11.5,15.35,NO,13
422,1,20190101,161,170,2,1,1,1.0,7.5,8.8,NO,9
423,1,20190101,170,79,1,1,1,1.9,11.0,22.3,NO,15
424,2,20190101,211,164,1,1,1,1.97,9.0,12.36,NO,10
425,2,20190101,113,263,1,1,1,4.34,15.5,20.16,NO,18
426,2,20190101,50,246,1,1,1,1.73,9.0,10.3,NO,11
427,2,20190101,246,144,1,1,1,2.9,13.5,17.76,NO,18
428,2,20190101,137,229,1,1,1,1.93,8.5,11.76,NO,9
429,2,20190101,137,141,1,1,1,3.4,14.0,17.6,NO,17
430,2,20190101,141,263,1,1,1,0.89,4.5,6.38,NO,2
431,2,20190101,236,43,1,1,1,0.75,4.5,7.25,NO,3
432,1,20190101,170,161,1,1,1,0.8,8.0,11.15,NO,11
433,1,20190101,161,161,1,1,1,0.4,10.0,14.65,NO,15
434,1,20190101,170,129,1,1,2,6.9,23.0,35.06,NO,19
435,1,20190101,50,13,1,1,2,4.9,18.5,24.75,NO,21
436,1,20190101,48,36,2,1,1,9.0,37.0,38.3,NO,53
437,1,20190101,229,224,2,1,1,2.0,9.5,10.8,NO,10
438,1,20190101,224,68,1,1,1,1.7,13.0,18.55,NO,20
439,2,20190101,79,261,2,1,1,5.36,18.5,19.8,NO,17
440,2,20190101,261,202,1,1,1,9.43,29.5,36.96,NO,29
441,1,20190101,249,249,1,1,2,0.4,4.0,6.35,NO,3
442,1,20190101,90,68,2,1,1,0.4,7.0,8.3,NO,9
443,1,20190101,68,68,1,1,1,0.9,6.0,9.1,NO,6
444,1,20190101,186,48,1,1,2,2.1,13.0,17.15,NO,19
445,2,20190101,232,162,1,1,6,3.15,12.5,16.56,NO,15
446,2,20190101,161,74,2,1,6,4.01,16.0,17.3,NO,19
447,2,20190101,262,16,1,1,6,16.71,47.0,48.3,NO,35
448,1,20190101,263,74,1,1,1,1.6,6.5,8.8,NO,4
449,1,20190101,75,188,3,1,3,15.1,42.5,49.56,NO,34
450,2,20190101,43,48,2,1,3,1.88,12.5,13.8,NO,16
451,2,20190101,48,33,1,1,2,5.83,24.5,29.67,NO,34
452,1,20190101,148,107,1,1,2,1.3,8.5,12.25,NO,11
453,1,20190101,107,234,2,1,4,0.5,5.0,6.3,NO,5
454,1,20190101,234,4,1,1,4,1.8,10.5,14.15,NO,14
455,2,20190101,161,209,2,1,4,5.17,18.5,19.8,NO,18
456,2,20190101,209,233,2,1,4,5.99,18.5,19.8,NO,14
457,2,20190101,234,88,1,1,1,3.14,14.5,17.8,NO,19
458,1,20190101,113,186,1,1,1,1.7,10.5,14.3,NO,14
459,1,20190101,186,113,3,1,1,1.7,9.0,10.3,NO,11
460,2,20190101,239,236,2,1,5,1.41,7.5,8.8,NO,7
461,2,20190101,236,74,1,1,5,1.23,5.5,8.5,NO,2
462,2,20190101,263,239,1,1,5,1.84,9.0,11.3,NO,9
463,2,20190101,239,25,1,1,5,9.91,31.0,40.38,NO,28
464,2,20190101,90,90,1,1,1,1.87,10.0,21.3,NO,13
465,2,20190101,75,75,1,1,1,0.64,4.5,7.54,NO,3
466,2,20190101,236,237,2,1,1,0.59,4.5,5.8,NO,3
467,2,20190101,141,166,1,1,1,3.93,13.5,18.23,NO,13
468,1,20190101,161,141,1,1,1,1.3,7.5,10.55,NO,8
469,1,20190101,141,162,2,1,1,0.5,3.5,4.8,NO,1
470,1,20190101,229,170,1,1,2,1.1,5.5,7.8,NO,5
471,2,20181231,48,265,2,1,2,19.3,61.0,68.06,NO,57
472,1,20190101,163,140,2,1,3,1.8,11.0,12.3,NO,14
473,1,20190101,141,141,1,1,2,0.4,3.5,5.75,NO,1
474,1,20190101,263,48,1,1,2,2.6,12.5,16.56,NO,16
475,2,20190101,148,107,1,1,1,1.58,8.5,11.76,NO,10
476,2,20190101,107,68,1,1,1,1.15,11.0,14.76,NO,16
477,2,20190101,148,82,2,1,1,7.15,24.0,25.3,NO,20
478,2,20190101,249,236,2,1,1,6.05,24.0,25.3,NO,33
479,2,20181231,170,170,2,1,1,0.64,5.0,6.3,NO,5
480,2,20190101,74,151,2,1,1,2.87,11.5,12.8,NO,12
481,2,20190101,151,239,1,1,1,1.76,8.5,12.74,NO,9
482,2,20190101,162,43,1,1,1,2.68,10.0,14.12,NO,9
483,2,20190101,162,263,1,1,1,1.97,8.5,11.76,NO,8
484,2,20181231,239,158,1,1,1,6.1,25.0,31.56,NO,33
485,2,20190101,158,87,1,1,1,3.92,14.0,17.3,NO,14
486,2,20190101,87,263,1,1,1,7.25,22.5,28.56,NO,18
487,2,20190101,249,75,1,1,1,7.49,26.0,32.76,NO,28
488,2,20190101,237,33,1,1,1,8.43,25.0,32.0,NO,19
489,1,20190101,138,224,1,1,2,8.9,26.0,41.31,NO,19
490,2,20190101,238,237,1,1,4,2.62,11.5,15.36,NO,12
491,2,20190101,236,236,1,1,5,0.35,4.5,6.96,NO,3
492,2,20190101,142,7,1,1,6,4.58,17.0,21.04,NO,19
493,2,20190101,151,239,2,1,1,1.2,6.5,7.8,NO,6
494,2,20190101,239,50,2,1,1,1.55,8.5,9.8,NO,8
495,2,20190101,50,112,2,1,1,4.75,19.0,20.3,NO,21
496,1,20190101,43,161,2,1,3,0.4,5.0,6.3,NO,5
497,1,20190101,43,113,1,1,3,2.4,16.5,21.35,NO,25
498,1,20190101,236,158,1,1,2,5.9,20.0,27.65,NO,20
499,1,20190101,249,48,1,1,3,2.7,17.5,22.55,NO,27
500,1,20190101,48,249,1,1,3,3.2,14.5,18.95,NO,18
501,1,20190101,45,4,1,1,1,2.4,11.5,15.35,NO,13
502,1,20190101,90,79,1,1,1,1.7,9.0,13.35,NO,11
503,1,20190101,264,264,2,1,1,0.7,8.0,8.8,NO,11
504,1,20190101,264,264,2,1,4,12.0,40.5,41.3,NO,45
505,1,20190101,141,42,1,1,2,4.5,15.0,19.55,NO,13
506,1,20190101,42,151,2,1,3,2.5,11.0,12.3,NO,12
507,1,20190101,151,142,1,1,2,2.6,12.0,15.95,NO,13
508,1,20190101,231,162,1,1,1,4.9,15.5,17.91,NO,11
509,1,20190101,162,186,2,1,1,2.1,12.5,13.8,NO,18
510,1,20190101,186,114,1,1,1,1.3,8.0,11.15,NO,10
511,1,20190101,229,170,1,1,2,1.5,9.0,12.35,NO,11
512,1,20190101,229,141,1,1,2,1.1,5.5,8.8,NO,4
513,1,20190101,141,263,2,1,1,0.9,4.5,5.8,NO,2
514,1,20190101,263,263,1,1,2,0.5,4.0,6.35,NO,2
515,1,20190101,234,68,1,1,1,0.8,8.0,11.15,NO,10
516,1,20190101,68,249,1,1,1,0.9,6.5,7.8,NO,7
517,1,20190101,114,68,1,1,1,1.4,10.0,13.55,NO,13
518,1,20190101,237,229,1,1,2,1.3,7.0,10.75,NO,7
519,1,20190101,236,140,2,1,2,0.7,5.0,6.3,NO,4
520,1,20190101,141,141,2,1,1,0.4,4.5,5.8,NO,3
521,1,20190101,236,237,1,1,1,1.1,5.5,7.8,NO,4
522,1,20190101,237,238,1,1,2,1.6,7.0,9.95,NO,5
523,1,20190101,239,48,2,1,1,1.6,7.0,8.3,NO,6
524,1,20190101,48,106,1,1,2,8.1,31.0,45.66,NO,38
525,1,20190101,33,40,1,1,1,1.9,8.0,10.7,NO,8
526,1,20190101,25,189,1,1,1,1.4,9.5,12.8,NO,12
527,2,20190101,229,237,1,1,1,0.65,5.5,8.5,NO,4
528,2,20190101,162,48,1,1,1,2.1,13.0,17.16,NO,19
529,2,20190101,48,68,1,1,1,1.5,9.5,12.96,NO,12
530,1,20190101,238,237,1,1,1,2.0,8.0,11.6,NO,7
531,1,20190101,237,263,2,1,1,1.5,8.5,9.8,NO,8
532,1,20190101,236,170,2,1,1,2.6,11.0,12.3,NO,11
533,2,20190101,107,163,2,1,2,2.75,11.5,12.8,NO,12
534,2,20190101,48,142,1,1,2,0.9,5.0,7.56,NO,3
535,2,20190101,48,246,1,1,2,1.42,12.0,13.3,NO,17
536,2,20190101,234,224,1,1,1,1.48,9.5,12.96,NO,12
537,2,20190101,170,48,2,1,1,1.59,10.5,11.8,NO,15
538,1,20190101,249,13,2,1,1,2.4,11.0,12.3,NO,12
539,1,20190101,231,125,2,1,1,0.9,5.5,6.8,NO,5
540,1,20190101,231,237,1,1,1,6.2,25.5,33.5,NO,35
541,2,20190101,260,74,2,1,1,6.2,19.0,26.06,NO,13
542,2,20190101,75,229,1,1,2,2.84,10.0,13.56,NO,9
543,2,20190101,79,13,1,1,1,5.27,19.0,20.3,NO,19
544,1,20190101,162,246,1,1,4,2.3,13.0,16.3,NO,18
545,1,20190101,246,237,2,1,1,2.5,12.5,13.8,NO,16
546,1,20190101,141,137,1,1,3,6.9,26.0,27.3,NO,34
547,1,20190101,161,100,2,1,2,1.8,13.5,14.8,NO,21
548,2,20190101,114,68,2,1,1,1.98,18.0,19.3,NO,29
549,2,20190101,43,151,2,1,1,2.9,12.0,13.3,NO,13
550,2,20190101,151,166,1,1,1,1.29,7.0,8.3,NO,6
551,2,20190101,166,244,1,1,1,3.7,12.5,17.25,NO,11
552,2,20190101,68,79,1,1,2,1.89,11.0,14.76,NO,15
553,2,20190101,234,113,1,1,5,0.76,6.0,8.76,NO,6
554,1,20190101,138,239,1,1,4,9.6,29.0,43.26,NO,26
555,1,20190101,239,151,1,1,3,1.9,9.0,13.3,NO,10
556,1,20190101,142,142,2,1,1,0.5,4.5,5.8,NO,4
557,1,20190101,162,140,2,1,1,1.5,7.0,8.3,NO,6
558,1,20190101,140,75,1,1,1,1.9,7.5,10.8,NO,6
559,1,20190101,161,33,2,1,2,6.9,23.0,24.3,NO,22
560,1,20190101,33,246,1,1,1,4.6,17.5,28.8,NO,20
561,2,20190101,138,87,2,1,1,12.89,36.0,37.3,NO,24
562,2,20190101,87,113,2,1,1,2.35,11.0,12.3,NO,13
563,1,20190101,223,250,2,1,1,8.3,24.5,31.56,NO,17
564,1,20190101,142,90,2,1,1,2.8,16.0,17.3,NO,23
565,1,20190101,90,50,1,1,1,2.0,12.0,15.95,NO,17
566,1,20190101,142,141,1,1,2,1.4,8.5,12.7,NO,11
567,2,20190101,249,114,1,1,2,1.29,8.0,11.16,NO,10
568,2,20190101,114,87,1,1,1,2.07,8.5,12.74,NO,9
569,2,20190101,87,181,2,1,1,4.32,18.0,19.3,NO,22
570,1,20190101,170,140,2,1,4,1.4,8.5,9.8,NO,11
571,2,20190101,163,166,1,1,1,5.17,17.5,22.56,NO,16
572,2,20190101,151,116,2,1,1,2.72,12.5,13.8,NO,14
573,2,20190101,234,225,1,1,1,7.59,30.5,31.8,NO,41
574,2,20190101,142,244,1,1,3,7.87,25.0,31.56,NO,26
575,2,20190101,244,243,1,1,3,1.53,9.5,14.91,NO,12
576,1,20190101,114,140,1,1,2,3.4,16.0,20.75,NO,23
577,2,20190101,164,90,1,1,1,0.94,7.0,9.96,NO,9
